adequacy,title,web,country,start,end
http://w3id.org/dpv/dpv-juris#Adequacy-EU-AD,EU Adequacy Decision for Andorra,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32010D0625?,http://w3id.org/dpv/dpv-juris#AD,2010-10-21,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-AR,EU Adequacy Decision for Argentina,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32003D0490,http://w3id.org/dpv/dpv-juris#AR,2003-07-05,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-CA,EU Adequacy Decision for Canada (commercial organisations),https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32002D0002,http://w3id.org/dpv/dpv-juris#CA,2002-01-04,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-CH,EU Adequacy Decision for Switzerland,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32000D0518,http://w3id.org/dpv/dpv-juris#CH,2000-08-25,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-FO,EU Adequacy Decision for Faroe Islands,https://eur-lex.europa.eu/legal-content/en/ALL/?uri=CELEX%3A32010D0146,http://w3id.org/dpv/dpv-juris#FO,2010-03-09,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-GB,EU Adequacy Decision for United Kingdom,https://ec.europa.eu/info/files/decision-adequate-protection-personal-data-united-kingdom-general-data-protection-regulation_en,http://w3id.org/dpv/dpv-juris#GB,2021-06-28,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-GG,EU Adequacy Decision for Guernsey,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32003D0821,http://w3id.org/dpv/dpv-juris#GG,2003-11-21,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-IL,EU Adequacy Decision for Israel,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011D0061,http://w3id.org/dpv/dpv-juris#IL,2011-02-01,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-IM,EU Adequacy Decision for Isle of Man,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32004D0411,http://w3id.org/dpv/dpv-juris#IM,2004-04-30,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-JE,EU Adequacy Decision for Jersey,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32008D0393,http://w3id.org/dpv/dpv-juris#JE,2008-05-26,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-JP,EU Adequacy Decision for Japan,http://data.europa.eu/eli/dec_impl/2019/419/oj,http://w3id.org/dpv/dpv-juris#JP,2019-01-23,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-NZ,EU Adequacy Decision for New Zealand,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX%3A32013D0065,http://w3id.org/dpv/dpv-juris#NZ,2012-12-20,
http://w3id.org/dpv/dpv-juris#Adequacy-EU-UY,EU Adequacy Decision for Uruguay,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32012D0484,http://w3id.org/dpv/dpv-juris#UY,2012-08-22,
